timestamp,site,pandas,R,total_R_pandas
2010-12-31,datascience.stackexchange,0.0,0.0,0.0
2011-12-31,datascience.stackexchange,0.0,0.0,0.0
2012-12-31,datascience.stackexchange,0.0,0.0,0.0
2013-12-31,datascience.stackexchange,0.0,0.0,0.0
2014-12-31,datascience.stackexchange,8.0,54.0,62.0
2015-12-31,datascience.stackexchange,8.0,152.0,160.0
2016-12-31,datascience.stackexchange,55.0,212.0,267.0
2017-12-31,datascience.stackexchange,86.0,204.0,290.0
2018-12-31,datascience.stackexchange,208.0,202.0,410.0
2019-12-31,datascience.stackexchange,315.0,195.0,510.0
2020-12-31,datascience.stackexchange,243.0,192.0,435.0
2021-12-31,datascience.stackexchange,192.0,128.0,320.0
2022-12-31,datascience.stackexchange,160.0,112.0,272.0
