Year,Male,Female,Total Voted
1980,43753000,49312000,93065000
1982,38025000,42285000,80309000
1984,47354000,54524000,101878000
1986,37729000,42225000,79955000
1988,?,?,?
1990,38659000,43331000,81990000
1992,53312000,60554000,113866000
1994,?,?,?
1996,?,?,?
1998,?,?,?
2000,51542000,59284000,110826000
2002,41801000,47102000,88904000
2004,58455000,67281000,125736000
2006,45118000,51001000,96119000
2008,60729000,70415000,131144000
2010,45392000,50595000,95987000
2012,61551000,71397000,132949000
2014,43009000,49243000,92251000
