,Year,Voted_18_24,Registered18_24,Voted_25_44,Registered_25_44,Voted_45_64,Registered_45_64,Voted_65_and_over,Registered_65_and_over,Total_Voted,Total_Registered,Male,Female,Total_Voted_Gender
0,1982,7139000,12227000,30343000,41103000,27491000,33422000,15336000,19245000,80309000,105997000,38025000,42285000,80309000
1,1986,5782000,11109000,31003000,45790000,26305000,33528000,16865000,21300000,79955000,111727000,37729000,42225000,79955000
2,1990,5072000,9896000,32766000,47020000,26138000,33480000,18014000,22853000,81990000,113249000,38659000,43331000,81990000
3,1992,10442000,12787000,47388000,52725000,34399000,37016000,21637000,24049000,113866000,126577000,53312000,60554000,113866000
4,2002,4697000,10470000,28019000,45553000,35521000,46430000,20667000,25701000,88904000,128154000,41801000,47102000,88904000
5,2004,11639000,14334000,42845000,49370000,47327000,51660000,23925000,26706000,125736000,142070000,58455000,67281000,125736000
6,2006,5524000,11554000,28216000,45099000,40725000,52171000,21654000,27023000,96119000,135847000,45118000,51001000,96119000
7,2008,12515000,15082000,42366000,48184000,50744000,54944000,25519000,28100000,131144000,146310000,60729000,70415000,131144000
8,2010,5682000,12095000,26122000,43414000,41248000,53499000,22935000,28255000,95987000,137263000,45392000,50595000,95987000
9,2012,11353000,14766000,39942000,47896000,52013000,57795000,29641000,32700000,132949000,153157000,61551000,71397000,132949000
10,2014,4721000,11610000,23209000,43187000,38111000,54107000,26210000,33261000,92251000,142165000,43009000,49243000,92251000
