order_hour_of_day,department,num_orders_hour,tot_orders_dept
0,alcohol,33,5598
1,alcohol,32,5598
2,alcohol,5,5598
3,alcohol,3,5598
4,alcohol,2,5598
5,alcohol,12,5598
6,alcohol,34,5598
7,alcohol,92,5598
8,alcohol,161,5598
9,alcohol,343,5598
10,alcohol,409,5598
11,alcohol,456,5598
12,alcohol,494,5598
13,alcohol,520,5598
14,alcohol,518,5598
15,alcohol,620,5598
16,alcohol,528,5598
17,alcohol,443,5598
18,alcohol,352,5598
19,alcohol,220,5598
20,alcohol,149,5598
21,alcohol,85,5598
22,alcohol,46,5598
23,alcohol,41,5598
0,babies,70,14941
1,babies,70,14941
2,babies,49,14941
3,babies,25,14941
4,babies,22,14941
5,babies,38,14941
6,babies,202,14941
7,babies,530,14941
8,babies,948,14941
9,babies,1257,14941
10,babies,1153,14941
11,babies,1086,14941
12,babies,958,14941
13,babies,1130,14941
14,babies,1191,14941
15,babies,1184,14941
16,babies,1145,14941
17,babies,858,14941
18,babies,710,14941
19,babies,594,14941
20,babies,642,14941
21,babies,489,14941
22,babies,395,14941
23,babies,195,14941
0,bakery,307,48394
1,bakery,175,48394
2,bakery,103,48394
3,bakery,75,48394
4,bakery,86,48394
5,bakery,127,48394
6,bakery,428,48394
7,bakery,1285,48394
8,bakery,2489,48394
9,bakery,3356,48394
10,bakery,3822,48394
11,bakery,3863,48394
12,bakery,3907,48394
13,bakery,4023,48394
14,bakery,4260,48394
15,bakery,4056,48394
16,bakery,3859,48394
17,bakery,3433,48394
18,bakery,2748,48394
19,bakery,2023,48394
20,bakery,1454,48394
21,bakery,1111,48394
22,bakery,904,48394
23,bakery,500,48394
0,beverages,694,114046
1,beverages,473,114046
2,beverages,285,114046
3,beverages,247,114046
4,beverages,231,114046
5,beverages,398,114046
6,beverages,1031,114046
7,beverages,2815,114046
8,beverages,5400,114046
9,beverages,8185,114046
10,beverages,9790,114046
11,beverages,9710,114046
12,beverages,9179,114046
13,beverages,9311,114046
14,beverages,9710,114046
15,beverages,9415,114046
16,beverages,8675,114046
17,beverages,8075,114046
